id,income,age,experience_years,city,region,current_job_years,current_house_years,profession,label,is_married_married,is_married_single,house_ownership_norent_noown,house_ownership_owned,house_ownership_rented,car_ownership_no,car_ownership_yes
56,7268002,62,15,105,0,13,14,22,0,False,True,False,False,True,False,True
57,2623596,54,6,200,2,6,13,49,0,False,True,False,False,True,False,True
58,3639463,34,6,81,10,6,14,17,0,False,True,False,False,True,True,False
59,6432970,53,20,131,14,6,13,38,0,False,True,False,False,True,True,False
60,6045182,78,6,239,11,6,12,18,0,False,True,False,False,True,True,False
61,9976619,71,5,214,5,4,12,4,0,False,True,False,False,True,True,False
62,8115665,62,12,247,25,10,11,23,0,False,True,False,False,True,True,False
63,9657655,76,0,129,19,0,12,40,0,False,True,False,False,True,True,False
64,3671330,67,19,90,0,5,14,48,0,False,True,False,False,True,True,False
65,4837156,22,10,218,0,9,10,17,0,False,True,False,False,True,False,True
66,8440210,79,18,188,25,5,10,39,0,False,True,False,False,True,True,False
67,2376301,49,17,189,6,4,13,26,0,False,True,False,True,False,True,False
68,9398593,25,6,36,2,6,12,1,0,False,True,False,False,True,True,False
69,8162148,35,18,84,0,11,13,36,0,True,False,False,False,True,True,False
70,5748851,74,5,128,20,5,13,0,0,False,True,False,False,True,True,False
71,5046084,62,7,269,13,6,14,48,0,True,False,False,False,True,False,True
72,4803487,63,13,65,13,12,13,36,0,False,True,False,False,True,False,True
73,6533246,41,11,81,10,4,14,30,0,False,True,False,False,True,True,False
74,6816226,43,13,197,14,4,13,19,0,False,True,False,False,True,False,True
75,5497909,38,1,21,0,1,13,0,0,False,True,False,False,True,True,False
76,2447892,22,16,188,25,6,10,47,0,True,False,False,False,True,True,False
77,4950300,66,20,27,25,4,11,2,0,False,True,False,False,True,True,False
78,9299586,43,5,276,14,3,13,43,0,False,True,False,False,True,False,True
79,579572,70,3,227,14,3,10,44,0,True,False,False,False,True,False,True
80,9282657,57,17,277,7,3,14,50,0,False,True,False,False,True,True,False
81,1478769,22,14,267,8,8,12,42,0,False,True,False,False,True,True,False
82,6200661,40,3,219,25,3,10,40,0,False,True,False,False,True,True,False
83,1406166,56,8,249,13,8,13,37,0,False,True,False,False,True,False,True
84,1743615,21,1,169,22,1,13,16,0,False,True,False,False,True,False,True
85,7524377,76,19,247,25,5,13,23,0,False,True,False,False,True,True,False
86,1514241,24,11,206,28,10,14,46,0,False,True,False,False,True,False,True
87,5456157,31,14,257,22,9,14,50,0,False,True,False,False,True,True,False
88,2974371,33,8,157,25,8,12,26,0,False,True,False,False,True,False,True
89,2495998,57,9,75,2,9,13,32,0,False,True,False,False,True,True,False
90,9709186,50,20,299,22,9,11,39,0,False,True,False,False,True,True,False
91,9673547,47,6,77,11,4,12,14,0,True,False,False,False,True,True,False
92,3203489,36,3,257,22,3,10,13,0,False,True,False,False,True,False,True
93,9474065,73,11,62,10,3,11,27,0,False,True,False,False,True,True,False
94,8534057,58,10,65,13,9,14,11,0,False,True,False,False,True,True,False
95,4784462,60,19,88,4,9,14,20,0,True,False,False,False,True,False,True
96,8076060,42,8,167,12,5,14,1,0,False,True,False,False,True,True,False
97,8913238,72,14,140,1,5,12,3,0,True,False,False,False,True,True,False
98,6598959,38,14,128,20,11,11,39,0,False,True,False,False,True,True,False
99,2451006,39,1,136,25,1,10,21,0,False,True,False,False,True,False,True
100,9451139,22,17,303,11,14,14,40,0,False,True,False,False,True,True,False
101,1020861,42,17,126,13,7,14,28,0,False,True,False,False,True,True,False
102,7064604,74,3,294,12,3,12,36,0,False,True,False,False,True,True,False
103,4986118,72,19,119,11,10,13,26,0,False,True,False,False,True,False,True
104,6535026,79,18,94,25,12,11,17,0,False,True,False,False,True,True,False
105,9304920,44,6,84,0,6,11,37,0,False,True,False,False,True,True,False
106,5507871,72,5,168,28,5,10,18,0,True,False,False,False,True,False,True
107,7907929,31,20,236,14,12,11,42,0,False,True,False,False,True,True,False
108,6184989,37,18,269,13,5,10,8,0,False,True,False,False,True,True,False
109,5783146,51,18,72,0,7,12,40,0,False,True,False,False,True,True,False
110,9749077,75,3,32,28,3,14,23,0,True,False,False,False,True,True,False
111,7724990,26,10,253,17,4,12,40,0,False,True,False,False,True,True,False
112,3176413,41,13,58,2,13,13,29,0,False,True,False,False,True,True,False
113,9704353,73,18,231,10,9,12,32,0,False,True,False,False,True,True,False
114,5722719,71,1,169,22,1,14,49,0,False,True,False,False,True,True,False
115,196730,41,15,131,14,14,10,46,0,False,True,False,False,True,False,True
116,5203994,79,3,261,2,3,14,0,0,False,True,False,False,True,False,True
117,7232098,79,19,131,14,10,10,23,0,False,True,False,False,True,False,True
118,2473933,62,20,16,14,10,11,40,0,False,True,False,False,True,False,True
119,6533070,43,16,202,6,6,13,22,0,False,True,False,False,True,False,True
120,9703666,31,4,194,6,4,12,50,0,False,True,False,False,True,True,False
121,3871382,41,0,151,2,0,10,9,0,False,True,False,False,True,True,False
122,8625543,66,12,175,0,10,13,2,0,False,True,False,False,True,False,True
123,8654984,45,15,50,13,14,13,6,0,False,True,False,False,True,True,False
124,9738992,35,17,24,14,13,12,46,0,False,True,False,False,True,False,True
125,6952653,40,6,258,17,6,14,22,0,False,True,False,False,True,True,False
126,5837691,65,14,81,10,10,11,30,0,False,True,False,False,True,False,True
127,6365998,45,8,106,11,4,10,6,0,False,True,False,False,True,True,False
128,4658830,45,11,18,25,8,10,13,0,False,True,False,False,True,False,True
129,1464300,58,10,43,5,10,13,37,0,False,True,False,False,True,False,True
130,6572051,28,14,109,0,9,11,19,0,False,True,False,False,True,True,False
131,8407932,26,14,313,0,6,11,32,0,False,True,False,False,True,False,True
132,8806392,61,5,102,10,5,13,43,0,True,False,False,False,True,True,False
133,5112961,67,5,131,14,3,10,50,0,False,True,False,False,True,True,False
134,1106260,39,8,241,4,8,10,5,0,False,True,False,True,False,True,False
135,4636538,56,4,71,28,4,10,9,0,False,True,False,False,True,True,False
136,5397462,39,12,106,11,12,13,22,0,False,True,False,False,True,False,True
137,2096865,23,11,78,27,11,12,19,0,False,True,False,False,True,True,False
138,3432974,58,19,256,2,12,14,3,0,False,True,False,False,True,True,False
139,2590772,53,17,183,11,10,14,24,0,False,True,False,False,True,True,False
140,4040293,45,20,118,0,11,10,49,0,False,True,False,False,True,True,False
141,2375695,31,17,139,20,10,12,50,0,True,False,False,False,True,False,True
142,5303030,35,7,153,0,6,13,0,0,False,True,False,False,True,True,False
143,2451102,30,3,285,23,3,13,49,0,False,True,False,False,True,True,False
144,6911597,48,12,307,25,4,13,34,0,False,True,False,False,True,True,False
145,2556201,62,14,72,0,11,12,19,0,False,True,False,False,True,True,False
146,924200,69,2,147,22,2,10,29,0,False,True,False,False,True,True,False
147,3055894,68,3,27,25,3,12,24,0,False,True,False,False,True,True,False
148,7475292,33,3,184,10,3,10,18,0,False,True,False,False,True,True,False
149,1878525,41,5,25,2,5,14,37,0,False,True,False,False,True,True,False
150,806932,72,14,159,2,4,13,36,0,False,True,False,False,True,False,True
151,7151565,58,13,120,22,13,12,4,0,True,False,False,False,True,True,False
152,7907929,31,20,236,14,12,11,42,0,False,True,False,False,True,True,False
153,9063924,47,19,14,14,9,11,21,0,False,True,False,False,True,True,False
154,432658,52,13,258,17,13,10,38,0,False,True,False,False,True,True,False
155,1878525,41,5,25,2,5,14,37,0,False,True,False,False,True,True,False
156,8593318,75,20,134,6,7,13,42,0,False,True,False,True,False,True,False
157,7110369,35,7,183,11,3,11,13,0,False,True,False,False,True,False,True
158,66912,27,10,129,19,10,14,43,0,True,False,False,False,True,True,False
159,1192674,43,13,121,28,8,14,6,0,False,True,False,False,True,True,False
160,3589662,42,18,34,25,13,13,47,0,False,True,False,False,True,False,True
161,3535310,29,10,6,20,10,14,1,0,False,True,False,False,True,True,False
162,8500985,30,18,113,2,9,12,37,0,False,True,False,False,True,True,False
163,7455976,69,5,177,28,5,13,22,0,False,True,False,False,True,False,True
164,1731271,44,20,49,0,8,12,35,0,False,True,False,False,True,True,False
165,2045098,66,1,37,11,1,13,46,0,False,True,False,False,True,True,False
166,4665785,71,13,69,2,3,12,2,0,False,True,False,False,True,True,False
167,9202245,74,16,274,7,13,12,23,0,False,True,False,False,True,False,True
168,2615615,44,13,21,0,4,12,50,0,True,False,False,False,True,True,False
169,608319,21,10,61,4,5,11,35,0,False,True,False,False,True,True,False
170,2686001,21,10,91,22,7,10,26,0,False,True,False,False,True,True,False
171,6382731,51,8,78,27,5,11,46,0,False,True,False,False,True,False,True
172,2301024,51,11,116,27,7,11,23,0,False,True,False,False,True,False,True
173,8576968,35,18,15,22,5,12,19,0,False,True,False,False,True,True,False
174,8822942,65,13,215,23,8,12,47,0,False,True,False,True,False,True,False
175,6569934,72,9,225,7,3,14,12,0,False,True,False,False,True,False,True
176,5203994,79,3,261,2,3,14,0,0,False,True,False,False,True,False,True
177,9310823,78,4,218,0,3,12,47,0,True,False,False,False,True,True,False
178,488193,71,18,107,13,8,10,20,0,False,True,False,False,True,True,False
179,569103,35,20,181,28,3,14,30,0,False,True,False,False,True,False,True
180,5127014,76,0,305,14,0,13,33,0,True,False,False,False,True,True,False
181,4825413,45,18,281,9,11,14,9,0,False,True,False,False,True,False,True
182,5902944,26,4,99,21,4,14,13,0,False,True,False,False,True,True,False
183,8644938,26,11,278,28,9,10,2,0,True,False,False,False,True,True,False
184,5889209,27,12,112,13,12,14,14,0,False,True,False,False,True,True,False
185,9309815,79,5,203,1,4,12,39,0,False,True,False,False,True,True,False
186,8891641,67,15,291,22,7,12,48,0,False,True,False,False,True,True,False
187,2987685,59,6,28,25,6,10,47,0,False,True,False,False,True,False,True
188,4164102,63,4,291,22,4,14,32,0,True,False,False,True,False,True,False
189,9571049,43,8,29,28,8,11,31,0,False,True,False,False,True,False,True
190,4660286,60,6,10,26,6,11,11,0,False,True,False,False,True,True,False
191,170128,29,17,13,7,12,12,1,0,False,True,False,False,True,True,False
192,3140216,22,9,18,25,6,10,23,0,False,True,False,False,True,True,False
193,7393090,59,19,181,28,4,13,26,0,False,True,False,False,True,True,False
194,7315908,63,3,292,12,3,11,50,0,False,True,False,False,True,False,True
195,9511802,55,10,164,4,4,14,35,0,False,True,False,False,True,False,True
196,5330432,47,2,57,28,2,10,9,0,False,True,False,False,True,False,True
197,5127918,75,13,139,20,13,10,18,0,True,False,False,False,True,True,False
198,5492355,28,2,285,23,2,11,28,0,False,True,False,False,True,False,True
199,7400586,66,20,280,0,7,11,25,0,False,True,False,False,True,False,True
200,1964155,51,13,269,13,7,10,37,0,False,True,False,False,True,True,False
201,3540135,78,4,121,28,4,11,6,0,False,True,False,False,True,True,False
202,3045248,50,1,71,28,1,14,46,0,False,True,False,False,True,False,True
203,900174,61,17,170,0,13,14,9,0,False,True,False,False,True,True,False
204,7115862,52,17,80,5,14,11,37,0,False,True,False,False,True,True,False
205,61638,54,11,86,1,8,11,4,0,False,True,False,False,True,True,False
206,7541730,23,2,18,25,2,10,40,0,False,True,False,False,True,True,False
207,2808193,58,17,180,28,10,11,12,0,False,True,False,False,True,True,False
208,8024706,66,17,204,22,12,10,20,0,True,False,False,False,True,True,False
209,3994234,72,18,291,22,4,13,45,0,False,True,False,False,True,True,False
210,6301452,71,4,54,17,3,12,38,0,False,True,False,False,True,True,False
211,7686186,69,15,51,14,4,13,0,0,False,True,False,True,False,False,True
212,254930,69,0,209,5,0,11,5,0,False,True,False,True,False,True,False
213,1267761,52,17,102,10,9,11,4,0,False,True,False,False,True,True,False
214,3171323,21,17,267,8,5,12,29,0,False,True,False,False,True,True,False
215,4986118,72,19,119,11,10,13,26,0,False,True,False,False,True,False,True
216,5215058,39,16,178,22,3,13,2,0,False,True,False,False,True,True,False
217,6152756,49,3,283,6,3,14,40,0,True,False,False,False,True,True,False
218,3128681,59,4,174,19,4,12,19,0,False,True,False,True,False,True,False
219,9759748,30,15,309,25,13,14,22,0,False,True,False,False,True,False,True
220,1225686,65,9,119,11,5,13,12,0,False,True,False,False,True,True,False
221,7532243,47,2,179,23,2,12,8,0,False,True,False,False,True,False,True
222,7500815,31,18,262,14,14,11,20,0,True,False,False,False,True,False,True
223,7055289,65,12,311,22,12,14,4,0,False,True,False,False,True,True,False
224,8643027,42,18,3,6,11,12,11,0,False,True,False,False,True,False,True
225,7530512,65,12,255,25,10,12,34,0,False,True,False,False,True,True,False
226,7804668,54,0,47,4,0,14,12,0,False,True,False,False,True,True,False
227,842278,30,18,232,14,3,14,37,0,False,True,False,False,True,False,True
228,6776301,26,17,66,2,11,13,6,0,True,False,False,False,True,True,False
229,8503714,38,2,226,14,2,10,17,0,True,False,False,False,True,True,False
230,7462582,72,12,37,11,12,10,9,0,False,True,False,False,True,True,False
231,2915841,52,7,104,25,3,12,20,0,False,True,False,False,True,True,False
232,7533165,27,19,47,4,8,12,50,0,False,True,False,False,True,False,True
233,9758182,33,9,70,22,7,11,10,0,False,True,False,False,True,True,False
234,8426506,68,1,152,13,1,12,6,0,False,True,False,False,True,False,True
235,1600707,39,4,309,25,4,12,18,0,False,True,False,False,True,True,False
236,6055718,30,4,276,14,4,10,1,0,False,True,False,False,True,True,False
237,3392494,28,6,135,10,6,10,42,0,False,True,False,False,True,False,True
238,4859415,23,13,48,20,10,13,26,0,False,True,False,False,True,True,False
239,496449,44,12,91,22,10,10,2,0,False,True,False,False,True,True,False
240,1053988,73,6,211,14,6,13,43,0,False,True,False,True,False,True,False
241,8007329,77,9,119,11,9,13,2,0,False,True,False,False,True,False,True
242,7059372,43,4,309,25,4,13,32,0,True,False,False,True,False,True,False
243,7532651,49,15,144,14,9,12,12,0,True,False,False,False,True,True,False
244,5224897,26,2,311,22,2,10,4,0,True,False,False,False,True,False,True
245,5616245,76,20,142,0,13,13,46,0,False,True,False,False,True,False,True
246,6083984,45,15,304,13,3,12,42,0,False,True,False,False,True,True,False
247,8720580,65,4,188,25,3,12,48,0,False,True,False,False,True,False,True
248,8407932,26,14,313,0,6,11,32,0,False,True,False,False,True,False,True
249,7138986,38,17,65,13,14,13,6,0,False,True,False,True,False,False,True
250,5484845,79,0,33,28,0,10,19,0,False,True,False,False,True,True,False
251,6253045,75,7,7,14,7,11,15,0,False,True,False,False,True,True,False
252,5456157,31,14,257,22,9,14,50,0,False,True,False,False,True,True,False
253,9297948,33,11,25,2,8,11,48,0,False,True,False,False,True,False,True
254,5734501,38,14,30,11,8,12,18,0,False,True,False,False,True,True,False
255,5785401,27,20,13,7,8,13,24,0,False,True,False,False,True,True,False
256,1857913,64,16,282,5,6,11,13,0,False,True,False,True,False,False,True
257,6052742,34,14,250,17,8,10,36,0,False,True,False,False,True,False,True
258,7396490,59,0,86,1,0,11,1,0,True,False,False,False,True,False,True
259,8450190,26,6,279,20,6,10,12,0,False,True,False,False,True,True,False
260,826478,33,15,174,19,13,11,19,0,False,True,False,False,True,True,False
261,2822929,29,5,300,22,5,10,9,0,False,True,False,False,True,False,True
262,9374682,54,1,179,23,1,12,24,0,True,False,False,False,True,True,False
263,129457,74,2,99,21,2,10,0,0,False,True,False,True,False,False,True
264,8501074,62,1,187,10,1,11,1,0,False,True,False,False,True,True,False
265,6730834,33,20,151,2,12,13,17,0,False,True,False,False,True,True,False
266,7779778,27,11,252,7,8,12,21,0,False,True,False,False,True,True,False
267,7065695,72,6,312,0,6,12,42,0,False,True,False,False,True,True,False
268,2341648,67,4,66,2,4,13,35,0,True,False,False,False,True,True,False
269,279696,49,17,15,22,12,13,27,0,False,True,False,False,True,False,True
270,1463320,48,19,280,0,13,14,29,0,False,True,False,False,True,False,True
271,3323452,76,18,189,6,14,13,40,0,False,True,False,False,True,False,True
272,8165921,51,20,150,7,11,14,7,0,False,True,False,False,True,True,False
273,2071504,31,5,243,6,5,10,15,0,False,True,False,False,True,True,False
274,1006338,67,1,121,28,1,14,21,0,False,True,False,False,True,False,True
275,7863110,40,12,22,2,9,14,22,0,False,True,False,False,True,True,False
276,4790996,62,16,196,2,10,11,14,0,False,True,False,False,True,False,True
277,7172998,36,16,170,0,9,13,16,0,False,True,False,False,True,True,False
278,9937676,61,3,1,24,3,11,49,0,False,True,False,False,True,True,False
279,9649624,50,18,315,23,5,10,18,0,False,True,False,False,True,False,True
280,8397031,54,12,0,0,10,12,11,0,False,True,False,False,True,True,False
281,9488176,30,7,123,23,7,11,39,0,False,True,False,False,True,True,False
282,2450562,21,5,10,26,5,11,13,0,False,True,False,False,True,False,True
283,7018326,33,20,311,22,4,11,34,0,False,True,True,False,False,False,True
284,5951430,55,10,77,11,10,10,49,0,True,False,False,False,True,True,False
285,4097229,28,9,279,20,9,12,12,0,False,True,False,False,True,True,False
286,8257194,48,8,225,7,8,10,35,0,False,True,False,False,True,True,False
287,4149532,47,1,197,14,1,13,8,0,False,True,False,True,False,False,True
288,1165856,47,19,168,28,7,10,44,0,True,False,False,False,True,False,True
289,3679248,74,6,31,28,6,11,46,0,False,True,False,False,True,True,False
290,2582117,54,11,150,7,3,14,2,0,False,True,False,False,True,False,True
291,7109019,69,8,70,22,5,14,36,0,False,True,False,False,True,True,False
292,1461789,69,13,69,2,13,14,41,0,False,True,True,False,False,True,False
293,9377132,34,2,75,2,2,12,41,0,False,True,False,False,True,True,False
294,8446510,27,6,308,6,4,13,16,0,False,True,False,False,True,True,False
295,6379086,72,11,100,2,11,12,19,0,True,False,False,False,True,False,True
296,7645788,71,17,235,22,13,14,10,0,False,True,False,False,True,False,True
297,5753312,48,5,298,0,5,13,33,0,False,True,False,False,True,False,True
298,2587414,59,19,121,28,5,14,36,0,False,True,False,False,True,True,False
299,9756211,45,8,55,14,8,10,39,0,False,True,False,False,True,False,True
300,9777621,61,11,88,4,11,11,37,0,False,True,False,False,True,True,False
301,2353606,44,19,278,28,4,11,40,0,False,True,False,False,True,True,False
302,3019045,76,12,133,9,11,12,17,0,False,True,False,False,True,True,False
303,3917443,27,4,17,19,4,13,26,0,False,True,False,False,True,True,False
304,700895,33,0,284,6,0,13,49,0,False,True,False,False,True,True,False
305,5001124,46,11,117,10,11,11,1,0,False,True,False,True,False,False,True
306,7273711,67,7,307,25,7,10,24,0,False,True,False,False,True,True,False
307,8500268,23,8,268,11,8,10,42,0,False,True,False,False,True,True,False
308,897017,45,0,308,6,0,13,43,0,False,True,False,False,True,False,True
309,1680177,33,18,277,7,6,11,29,0,False,True,False,True,False,True,False
310,3082162,34,18,268,11,3,10,37,0,False,True,True,False,False,True,False
311,2909945,59,10,283,6,8,14,11,0,False,True,False,False,True,True,False
312,8827393,39,0,259,25,0,13,31,0,False,True,False,False,True,True,False
313,3226833,73,19,2,25,4,11,41,0,False,True,False,False,True,True,False
314,9074439,41,15,42,2,7,10,7,0,False,True,False,False,True,True,False
315,8417601,60,2,133,9,2,14,34,0,False,True,False,False,True,False,True
316,2218280,34,9,100,2,9,11,40,0,False,True,False,False,True,True,False
317,2329433,42,1,48,20,1,11,46,0,False,True,False,False,True,True,False
318,6492131,24,1,162,28,1,14,22,0,False,True,False,False,True,True,False
319,3262793,29,5,212,14,5,13,0,0,False,True,False,False,True,False,True
320,8433425,63,13,278,28,6,10,27,0,True,False,False,False,True,True,False
321,7138986,38,17,65,13,14,13,6,0,False,True,False,True,False,False,True
322,2495998,57,9,75,2,9,13,32,0,False,True,False,False,True,True,False
323,7971597,65,3,141,6,3,14,26,0,False,True,False,False,True,True,False
324,1341380,70,17,294,12,3,13,27,0,True,False,False,False,True,True,False
325,615995,37,8,215,23,8,13,27,0,False,True,False,False,True,True,False
326,4884889,28,13,46,6,10,12,17,0,False,True,False,False,True,True,False
327,5545217,52,12,232,14,9,13,22,0,True,False,False,False,True,True,False
328,412283,57,11,199,25,9,10,22,0,False,True,False,False,True,False,True
329,6430245,23,16,85,14,11,11,12,0,False,True,False,False,True,False,True
330,5647261,64,10,55,14,10,10,40,0,False,True,False,False,True,True,False
331,9317664,62,8,185,25,8,12,14,0,False,True,False,False,True,False,True
332,7781258,72,9,278,28,9,11,3,0,False,True,False,False,True,True,False
333,8110051,58,0,43,5,0,13,29,0,False,True,False,False,True,False,True
334,2615615,44,13,21,0,4,12,50,0,True,False,False,False,True,True,False
335,279696,49,17,15,22,12,13,27,0,False,True,False,False,True,False,True
336,7291839,41,1,290,14,1,12,45,0,False,True,False,False,True,False,True
337,5478075,42,12,1,24,7,13,17,0,False,True,False,False,True,True,False
338,1779655,74,8,316,7,7,12,48,0,False,True,False,False,True,True,False
339,6035170,39,14,188,25,10,13,21,0,False,True,False,False,True,True,False
340,8755938,42,20,80,5,14,13,6,0,False,True,False,False,True,False,True
341,6865993,48,19,284,6,8,13,34,0,False,True,False,False,True,True,False
342,8426506,68,1,152,13,1,12,6,0,False,True,False,False,True,False,True
343,2596508,51,18,171,14,4,14,5,0,True,False,False,False,True,True,False
344,3412690,66,13,17,19,11,14,28,0,False,True,False,False,True,True,False
345,8964846,23,12,149,23,5,13,2,0,False,True,False,False,True,True,False
346,9898399,74,20,73,22,7,13,3,0,False,True,False,False,True,True,False
347,5465982,35,15,286,0,5,13,37,0,False,True,False,False,True,True,False
348,7636933,44,4,269,13,4,14,15,0,False,True,False,False,True,False,True
349,7477502,28,14,248,10,11,10,7,0,False,True,False,False,True,True,False
350,5972887,51,7,212,14,5,12,10,0,False,True,False,False,True,True,False
351,2241194,66,13,5,16,12,12,0,0,False,True,False,False,True,True,False
352,9704228,45,14,101,25,3,14,21,0,False,True,False,False,True,True,False
353,8881776,49,13,40,17,13,12,2,0,False,True,False,False,True,True,False
354,7876938,70,11,148,5,3,13,46,0,False,True,False,False,True,True,False
355,8446510,27,6,308,6,4,13,16,0,False,True,False,False,True,True,False
356,3179384,34,11,16,14,7,14,31,0,True,False,False,False,True,True,False
357,757960,58,5,259,25,5,10,21,0,False,True,False,False,True,False,True
358,4217767,28,4,302,20,4,13,44,0,False,True,False,False,True,False,True
359,8958480,49,2,50,13,2,13,50,0,False,True,False,False,True,True,False
360,511547,26,3,182,14,3,13,16,0,False,True,False,False,True,False,True
361,2860021,23,17,138,25,11,13,6,0,False,True,True,False,False,True,False
362,3670961,63,12,295,1,3,11,40,0,False,True,False,True,False,True,False
363,6578390,48,17,182,14,4,13,34,0,False,True,False,False,True,True,False
364,7424998,33,9,224,28,6,13,40,0,False,True,False,False,True,True,False
365,5808564,65,16,6,20,14,10,22,0,True,False,True,False,False,True,False
366,2743131,47,2,86,1,2,14,48,0,False,True,False,False,True,True,False
367,3701850,68,15,88,4,9,11,25,0,False,True,False,False,True,True,False
368,2725660,32,7,182,14,7,10,3,0,False,True,False,False,True,True,False
369,779608,25,13,202,6,6,13,29,0,False,True,False,False,True,False,True
370,5385174,49,18,137,2,12,12,32,0,False,True,False,False,True,True,False
371,4298965,22,10,226,14,10,14,47,0,False,True,False,False,True,True,False
372,499939,25,17,34,25,9,14,8,0,True,False,False,False,True,False,True
373,6602095,62,15,279,20,8,14,46,0,False,True,False,False,True,True,False
374,9126131,29,18,297,22,9,12,28,0,False,True,False,False,True,True,False
375,988540,65,14,8,12,13,11,2,0,False,True,False,False,True,True,False
376,7256900,55,9,126,13,4,14,28,0,False,True,False,False,True,True,False
377,6563024,34,2,201,11,2,13,41,0,False,True,False,False,True,True,False
378,3167295,32,5,192,25,4,12,8,0,False,True,False,False,True,False,True
379,712855,46,9,192,25,3,12,13,0,False,True,False,False,True,False,True
380,8719218,58,9,201,11,9,11,6,0,False,True,False,False,True,True,False
381,8917966,78,13,223,7,5,14,33,0,True,False,False,False,True,False,True
382,2204194,32,17,250,17,7,10,8,0,False,True,False,False,True,True,False
383,226674,74,13,189,6,9,12,18,0,False,True,False,False,True,True,False
384,4375780,66,3,56,11,3,10,42,0,False,True,False,True,False,True,False
